batch,score,loss,loss_v
269,-10,0.053698577,35.01423
270,-48,-9.266468,489.15656
271,-50,-4.3335867,553.81805
272,-46,-8.173913,545.0401
273,-38,-10.207719,453.76453
274,-32,-3.22749,166.06068
275,-28,-1.7013916,134.34892
276,-36,-4.175829,267.56186
277,-14,-1.1858603,35.219162
278,-50,-10.199234,548.05566
279,-32,-4.8963842,445.30707
280,-32,-8.482426,442.76474
281,-50,-11.642023,549.78326
282,-50,-9.343787,549.33093
283,-50,-13.852858,549.60565
284,-42,-8.743866,524.9922
285,-42,-5.4949765,368.16812
286,-28,-6.256212,402.51892
287,-50,-9.3622265,548.88116
288,-50,-8.798525,548.8909
289,-40,-10.36194,510.36874
290,-14,-6.861342,254.99725
291,-22,-2.0256488,79.56936
292,-42,-6.7075963,358.50195
293,-42,-5.2611322,362.4033
294,-36,-3.8324995,216.06152
295,-6,-4.3496666,180.88232
296,-28,-3.2528138,143.80836
297,-50,-15.919638,548.47974
298,-50,-10.459982,547.59784
299,-50,-11.644524,547.3253
300,-50,-9.120404,546.8247
301,-50,-11.7663355,547.96814
302,-50,-4.824982,548.0648
303,-38,-7.149225,252.32867
304,-50,-7.366496,547.45013
305,-50,-12.472804,547.4688
306,-50,-10.007682,547.6639
307,-26,-5.547039,380.81882
308,-38,-6.4301405,492.8506
309,-24,-5.372656,360.12292
310,-32,-4.8660736,440.67834
311,-40,-7.0921116,313.555
312,-40,-5.0763063,288.14932
313,-50,-12.959139,547.0464
314,-50,-8.514283,546.4944
315,-32,-5.6996264,184.52069
316,-50,-9.894293,546.5505
317,-44,-9.943328,533.0057
318,-50,-8.594364,546.3535
319,-42,-9.728371,521.88495
320,-50,-10.726859,546.4493
321,-50,-11.927155,546.68005
322,-50,-7.0053554,545.216
323,-50,-10.360003,546.03314
324,-34,-2.0666306,183.05168
325,-30,-3.823947,419.59268
326,-44,-5.38285,532.48944
327,-50,-11.716256,545.8435
328,-34,-6.721359,459.06305
329,-50,-7.0647125,543.75134
330,-32,-4.2205486,189.9199
331,-46,-5.8755426,539.3089
332,-38,-4.654379,260.23782
333,-40,-9.928651,432.26935
